"","Basin","Drought_Level","Drought_Area_SqKm","Drought_Area_Percent"
"1","Upper Basin",0,0,0
"2","Upper Basin",1,29063.0480071301,9.899902928153
"3","Upper Basin",2,169612.075463619,57.7758768495459
"4","Upper Basin",3,72053.5007953006,24.5439729285129
"5","Upper Basin",4,22840.1376331645,7.78015937552421
"6","Lower Basin",0,18906.6337003239,4.45537068151498
"7","Lower Basin",1,161041.037931451,37.949511811203
"8","Lower Basin",2,166539.702989105,39.2452787612404
"9","Lower Basin",3,0,0
"10","Lower Basin",4,0,0
