SiteName, Lat, Lon, State, DoiRegion, Huc8, DataUnits, DataValue, DataDate, DateQueried, DataDateMax, DataDateP90, DataDateP75, DataDateP50, DataDateP25, DataDateP10, DataDateMin, DataDateAvg, DataValuePctMdn, DataValuePctAvg, StatsPeriod, MaxCapacity, PctFull, TeacupUrl, DataUrl, Comment
UPPER KLAMATH LAKE, 42.25, -121.81528, OR, CGB, 18010203, ACRE-FEET, 492734, 03/27/2026, 03/28/2026, 560924, 529057, 510872, 488226, 448495, 406435, 303454, 478343.1666666667, 1.0092334287809335, 1.030084747386726, 9120, 561838, 0.8770036914555441, https://www.usbr.gov/lc/region/g4000/riverops/webreports/UpperKlamathLake.png, placeholder-url, placeholder-comment 
BLUE MESA DAM AND RESERVOIR, 38.45305, -107.33677, CO, UCB, 14020002, ACRE-FEET, 415218, 03/26/2026, 03/28/2026, 628013, 565806, 553046, 515072, 442028, 333704, 248220, 489905.23333333334, 0.8061358412027833, 0.8475475903264829, 9120, 827940, 0.5015073556054787, https://www.usbr.gov/lc/region/g4000/riverops/webreports/BlueMesa.png, placeholder-url, placeholder-comment 
ELEPHANT BUTTE DAM AND RESERVOIR, 33.15435, -107.19236, NM, UCB, 13020211, ACRE-FEET, 250316, 03/26/2026, 03/28/2026, 2009800, 1933270, 1675970, 547449, 388670, 229140, 217235, 916608, 0.4572407658064952, 0.2730894777265745, 9120, 2010900, 0.12447958625491073, https://www.usbr.gov/lc/region/g4000/riverops/webreports/ElephantButteReservoir.png, placeholder-url, placeholder-comment 
FLAMING GORGE DAM AND RESERVOIR, 40.91474, -109.42185, WY, UCB, 14040106, ACRE-FEET, 3005490, 03/26/2026, 03/28/2026, 3330900, 3229470, 3198800, 3159090, 2984900, 2829150, 2624730, 3077408, 0.9513784032743606, 0.9766303330595099, 9120, 3671100, 0.81868922121435, https://www.usbr.gov/lc/region/g4000/riverops/webreports/FlamingGorge.png, placeholder-url, placeholder-comment 
LAKE POWELL - GLEN CANYON DAM, 36.93649, -111.48396, AZ, UCB, 14070006, ACRE-FEET, 5749680, 03/26/2026, 03/28/2026, 20932200, 20229900, 16957000, 12866700, 11050200, 9509760, 8050140, 14008326.666666666, 0.44686516356175243, 0.4104473101474409, 9120, 24322000, 0.23639832250637283, https://www.usbr.gov/lc/region/g4000/riverops/webreports/LakePowell.png, placeholder-url, placeholder-comment 
NAVAJO DAM AND RESERVOIR, 36.80063, -107.61203, NM, UCB, 14080101, ACRE-FEET, 1007850, 03/26/2026, 03/28/2026, 1597100, 1520780, 1460310, 1298130, 1237820, 935664, 772809, 1296551.8666666667, 0.7763860322155717, 0.777331031569993, 9120, 1696000, 0.594251179245283, https://www.usbr.gov/lc/region/g4000/riverops/webreports/NavajoDam.png, placeholder-url, placeholder-comment 
MCPHEE DAM AND RESERVOIR, 37.577457, -108.571625, NM, UCB, 14030002, ACRE-FEET, 184004, 03/26/2026, 03/28/2026, 355185, 325317, 308039, 279471, 225097, 184920, 164974, 267440.56666666665, 0.6584010505562294, 0.6880182849348335, 9120, 381100, 0.48282340593020207, https://www.usbr.gov/lc/region/g4000/riverops/webreports/McPheeDam.png, placeholder-url, placeholder-comment 
AMERICAN FALLS DAM AND RESERVOIR, 42.77916, -112.87917, ID, CPN, 17040206, ACRE-FEET, 1354637, 03/27/2026, 03/28/2026, 1666209, 1638348, 1563207.88, 1467116.13, 1346768.63, 1279847.75, 1169075.25, 1467234.4023333334, 0.9233331788125049, 0.9232587498260193, 9120, 1672590, 0.8099038018880897, https://www.usbr.gov/lc/region/g4000/riverops/webreports/AmericanFalls.png, placeholder-url, placeholder-comment 
ANDERSON RANCH DAM AND RESERVOIR, 43.359188, -115.44919, ID, CPN, 17050113, ACRE-FEET, 309435, 03/27/2026, 03/28/2026, 346320, 321635, 294625.97, 242252, 134140.88, 43059.3, -7413, 216823.86633333337, 1.277326915773657, 1.4271261057779094, 9120, 413100, 0.7490559186637618, https://www.usbr.gov/lc/region/g4000/riverops/webreports/AndersonRanch.png, placeholder-url, placeholder-comment 
CLE ELUM DAM AND RESERVOIR, 47.245556, -121.07333, WA, CPN, 17030001, ACRE-FEET, 410538.01, 03/27/2026, 03/28/2026, 432390, 358050, 341624.47, 260794.52, 195770, 110850.3, 79124, 261114.7333333333, 1.5741818884844667, 1.5722514189803156, 9120, 436900, 0.9396612726024262, https://www.usbr.gov/lc/region/g4000/riverops/webreports/CleElum.png, placeholder-url, placeholder-comment 
