"","Reservoir","Date","Most_Probable","Min_Probable","Max_Probable"
"1","Blue Mesa Reservoir",2026-06-01,291596.75,291596.75,291596.75
"2","Blue Mesa Reservoir",2026-07-01,233884.603,233163.242,356810.825
"3","Blue Mesa Reservoir",2026-08-01,182060.67,181328.409,323176.861
"4","Blue Mesa Reservoir",2026-09-01,124555.611,124398.995,283606.418
"5","Blue Mesa Reservoir",2026-10-01,92902.7909,78187.0927,258356.301
"6","Blue Mesa Reservoir",2026-11-01,96509.0227,73386.2836,275762.216
"7","Blue Mesa Reservoir",2026-12-01,97589.2568,67157.0641,286939.268
"8","Blue Mesa Reservoir",2027-01-01,96669.4664,59929.6304,296113.724
"9","Blue Mesa Reservoir",2027-02-01,98210.6063,55055.1547,305769.849
"10","Blue Mesa Reservoir",2027-03-01,97925.4192,41228.9493,321233.352
"11","Blue Mesa Reservoir",2027-04-01,99556.2715,10694.3454,371644.039
"12","Blue Mesa Reservoir",2027-05-01,161098.105,27298.178,396365.857
"13","Blue Mesa Reservoir",2027-06-01,326745.14,72255.8533,647251.675
"14","Blue Mesa Reservoir",2027-07-01,321610.484,45519.2194,692358.753
"15","Blue Mesa Reservoir",2027-08-01,283617.057,13739.3729,677611.044
"16","Blue Mesa Reservoir",2027-09-01,245038.644,1311.88489,632723.515
"17","Blue Mesa Reservoir",2027-10-01,213272.815,10512.3835,600724.362
"18","Blue Mesa Reservoir",2027-11-01,227642.494,22731.9403,599345.813
"19","Blue Mesa Reservoir",2027-12-01,231282.641,35513.3336,577563.522
"20","Blue Mesa Reservoir",2028-01-01,227945.753,47192.4769,575589.894
"21","Blue Mesa Reservoir",2028-02-01,224938.729,58061.4331,571977.745
"22","Blue Mesa Reservoir",2028-03-01,231108.8,67453.203,576480.285
"23","Blue Mesa Reservoir",2028-04-01,264134.289,80005.2154,589384.534
"24","Blue Mesa Reservoir",2028-05-01,411363.686,175641.412,617113.618
"25","Blue Mesa Reservoir",2028-06-01,494729.828,272734.732,773307.004
"26","Flaming Gorge",2026-06-01,2750884.27,2750884.27,2750884.27
"27","Flaming Gorge",2026-07-01,2667193.51,2659770.63,2938318.83
