"","HUC6","Peak_Avg_SWE","Snow_Year","Date","Days2Peak"
"1","Full Basin",20.8357142857,1979,1979-01-01,194
"2","Lower Green",20.8357142857,1979,1979-01-01,194
"3","Full Basin",24.0875,1980,1980-01-01,184
"4","Lower Green",24.0875,1980,1980-01-01,184
"5","Full Basin",7.35424603176,1981,1981-01-01,187
"6","Gunnison",11.875,1981,1981-01-01,189
"7","Little Colorado",5.35,1981,1981-01-01,185
"8","Lower Green",11.65,1981,1981-01-01,189
"9","Salt",5.9,1981,1981-01-01,165
"10","Upper Gila",4.1333333333,1981,1981-01-01,165
"11","Full Basin",13.20762061405,1982,1982-01-01,182
"12","Gunnison",22.725,1982,1982-01-01,193
"13","Lower Green",22.1578947368,1982,1982-01-01,193
"14","Salt",8.2,1982,1982-01-01,142
"15","Upper Gila",6.5,1982,1982-01-01,148
"16","Full Basin",17.322807017525,1983,1983-01-01,196
"17","Gunnison",23.4,1983,1983-01-01,214
"18","Lower Green",24.2789473684,1983,1983-01-01,231
"19","Salt",15.6666666667,1983,1983-01-01,176
"20","Upper Gila",12.2833333333,1983,1983-01-01,177
"21","Full Basin",9.72513157894,1984,1984-01-01,219
"22","Gunnison",27.5625,1984,1984-01-01,219
"23","Little Colorado",5.0166666667,1984,1984-01-01,455
"24","Lower Green",21.4210526316,1984,1984-01-01,196
"25","Salt",5.7142857143,1984,1984-01-01,108
"26","Upper Gila",5.3833333333,1984,1984-01-01,112
"27","Full Basin",13.84421052632,1985,1985-01-01,148
"28","Gunnison",21.425,1985,1985-01-01,186
"29","Little Colorado",15.0333333333,1985,1985-01-01,147
"30","Lower Green",17.5526315789,1985,1985-01-01,183
"31","Salt",14.825,1985,1985-01-01,135
"32","Upper Gila",12,1985,1985-01-01,135
"33","Colorado Headwaters",23.2526315789,1986,1986-01-01,201
"34","Full Basin",16.1992391015444,1986,1986-01-01,170
"35","Gunnison",23.2222222222,1986,1986-01-01,201
"36","Little Colorado",4.9833333333,1986,1986-01-01,169
"37","Lower Green",23.4947368421,1986,1986-01-01,200
"38","Salt",4.9,1986,1986-01-01,169
"39","Upper Colorado - Dirty Devil",14.32,1986,1986-01-01,171
"40","Upper Gila",4.5666666667,1986,1986-01-01,140
"41","Upper Green",24.1117647059,1986,1986-01-01,212
"42","White Yampa",29.5090909091,1986,1986-01-01,200
"43","Colorado Headwaters",16.095,1987,1987-01-01,196
"44","Full Basin",14.3982870370417,1987,1987-01-01,187
"45","Gunnison",22.0090909091,1987,1987-01-01,196
"46","Little Colorado",10.7833333333,1987,1987-01-01,176
"47","Lower Colorado - Lake Mead",10.1625,1987,1987-01-01,180
"48","Lower Green",11.43,1987,1987-01-01,188
"49","Salt",10.1,1987,1987-01-01,150
"50","Upper Colorado - Dirty Devil",12.74,1987,1987-01-01,189
"51","Upper Colorado - Dolores",19.725,1987,1987-01-01,195
"52","Upper Gila",8.75,1987,1987-01-01,149
"53","Upper Green",12.3277777778,1987,1987-01-01,181
"54","Upper San Juan",32.3888888889,1987,1987-01-01,196
"55","White Yampa",16.26,1987,1987-01-01,187
"56","Colorado Headwaters",17.445,1988,1988-01-01,184
"57","Full Basin",11.5646916468583,1988,1988-01-01,172
"58","Gunnison",15.3272727273,1988,1988-01-01,188
"59","Little Colorado",8.6833333333,1988,1988-01-01,131
"60","Lower Colorado - Lake Mead",9.35,1988,1988-01-01,131
"61","Lower Green",11.475,1988,1988-01-01,172
"62","Salt",8.925,1988,1988-01-01,131
"63","Upper Colorado - Dirty Devil",9.9,1988,1988-01-01,172
"64","Upper Colorado - Dolores",12.6875,1988,1988-01-01,172
"65","Upper Gila",8.3333333333,1988,1988-01-01,143
"66","Upper Green",13.3705882353,1988,1988-01-01,187
"67","Upper San Juan",17.9888888889,1988,1988-01-01,172
"68","White Yampa",23.4666666667,1988,1988-01-01,188
"69","Colorado Headwaters",18.905,1989,1989-01-01,187
"70","Full Basin",12.7423800505,1989,1989-01-01,156
"71","Gunnison",18.6636363636,1989,1989-01-01,185
"72","Little Colorado",7.9,1989,1989-01-01,134
"73","Lower Colorado - Lake Mead",9.6125,1989,1989-01-01,156
"74","Lower Green",13.545,1989,1989-01-01,173
"75","Salt",7.2625,1989,1989-01-01,131
"76","Upper Colorado - Dirty Devil",9.72,1989,1989-01-01,178
"77","Upper Colorado - Dolores",15.9375,1989,1989-01-01,158
"78","Upper Gila",4.3666666667,1989,1989-01-01,131
"79","Upper Green",17.2611111111,1989,1989-01-01,187
"80","Upper San Juan",26.7888888889,1989,1989-01-01,159
"81","White Yampa",23.3066666667,1989,1989-01-01,187
"82","Colorado Headwaters",14.2238095238,1990,1990-01-01,191
"83","Full Basin",9.62625992063333,1990,1990-01-01,168
"84","Gunnison",12.2,1990,1990-01-01,191
"85","Little Colorado",5.7333333333,1990,1990-01-01,165
"86","Lower Colorado - Lake Mead",8.225,1990,1990-01-01,166
"87","Lower Green",12.8761904762,1990,1990-01-01,170
"88","Salt",4.6125,1990,1990-01-01,142
"89","Upper Colorado - Dirty Devil",7.8,1990,1990-01-01,170
"90","Upper Colorado - Dolores",8.225,1990,1990-01-01,167
"91","Upper Gila",3.7666666667,1990,1990-01-01,143
"92","Upper Green",12.6944444444,1990,1990-01-01,181
"93","Upper San Juan",19.1777777778,1990,1990-01-01,214
"94","White Yampa",19.7133333333,1990,1990-01-01,181
