"","State","Category","Date","Water_Year","Region","Apportionment_Countable","Consumptive_Use","Consumptive_Use_MAF"
"1","Arizona","Agriculture",1971-01-01,1971,"Upper Basin","Yes",29.964,2.9964e-05
"2","Arizona","Agriculture",1971-02-01,1971,"Upper Basin","Yes",37.455,3.7455e-05
"3","Arizona","Agriculture",1971-03-01,1971,"Upper Basin","Yes",79.2805633680258,7.92805633680258e-05
"4","Arizona","Agriculture",1971-04-01,1971,"Upper Basin","Yes",264.955619196623,0.000264955619196623
"5","Arizona","Agriculture",1971-05-01,1971,"Upper Basin","Yes",585.140733647796,0.000585140733647796
"6","Arizona","Agriculture",1971-06-01,1971,"Upper Basin","Yes",726.616778693151,0.000726616778693151
"7","Arizona","Agriculture",1971-07-01,1971,"Upper Basin","Yes",660.049816116536,0.000660049816116536
"8","Arizona","Agriculture",1971-08-01,1971,"Upper Basin","Yes",578.263533917994,0.000578263533917994
"9","Arizona","Agriculture",1971-09-01,1971,"Upper Basin","Yes",387.138665105213,0.000387138665105213
"10","Arizona","Agriculture",1971-10-01,1972,"Upper Basin","Yes",182.349478946492,0.000182349478946492
"11","Arizona","Agriculture",1971-11-01,1972,"Upper Basin","Yes",47.5023183289245,4.75023183289245e-05
"12","Arizona","Agriculture",1971-12-01,1972,"Upper Basin","Yes",21.2834926792449,2.12834926792449e-05
"13","Arizona","Agriculture",1972-01-01,1972,"Upper Basin","Yes",29.964,2.9964e-05
"14","Arizona","Agriculture",1972-02-01,1972,"Upper Basin","Yes",37.455,3.7455e-05
"15","Arizona","Agriculture",1972-03-01,1972,"Upper Basin","Yes",81.3808135069099,8.13808135069099e-05
"16","Arizona","Agriculture",1972-04-01,1972,"Upper Basin","Yes",291.561318268082,0.000291561318268082
"17","Arizona","Agriculture",1972-05-01,1972,"Upper Basin","Yes",656.444691031444,0.000656444691031443
"18","Arizona","Agriculture",1972-06-01,1972,"Upper Basin","Yes",815.706343284055,0.000815706343284055
"19","Arizona","Agriculture",1972-07-01,1972,"Upper Basin","Yes",738.104986695182,0.000738104986695182
"20","Arizona","Agriculture",1972-08-01,1972,"Upper Basin","Yes",647.675139344873,0.000647675139344873
"21","Arizona","Agriculture",1972-09-01,1972,"Upper Basin","Yes",431.292531522047,0.000431292531522047
"22","Arizona","Agriculture",1972-10-01,1973,"Upper Basin","Yes",199.877715577931,0.000199877715577931
"23","Arizona","Agriculture",1972-11-01,1973,"Upper Basin","Yes",49.2524492615525,4.92524492615525e-05
"24","Arizona","Agriculture",1972-12-01,1973,"Upper Basin","Yes",21.2850115079241,2.12850115079241e-05
"25","Arizona","Agriculture",1973-01-01,1973,"Upper Basin","Yes",24.516,2.4516e-05
"26","Arizona","Agriculture",1973-02-01,1973,"Upper Basin","Yes",30.645,3.0645e-05
"27","Arizona","Agriculture",1973-03-01,1973,"Upper Basin","Yes",75.1285013888412,7.51285013888412e-05
"28","Arizona","Agriculture",1973-04-01,1973,"Upper Basin","Yes",346.786990714596,0.000346786990714596
"29","Arizona","Agriculture",1973-05-01,1973,"Upper Basin","Yes",827.168573836473,0.000827168573836473
