"","State","Year","Crop","Crop_Group","Type","ET","Acres","ET_per_Acre","Date"
"1","Arizona",2010,"Alfalfa","Alfalfa/Grass","Crop",477562.82,92675.1441015266,5.15308419134288,2010-01-01
"2","Arizona",2010,"All American Canal","Other","Open Water",1930.8,322,5.99627329192547,2010-01-01
"3","Arizona",2010,"Bermuda","Alfalfa/Grass","Crop",21071.64,6679.72122037411,3.15456877687178,2010-01-01
"4","Arizona",2010,"Bermuda Overseeded with Rye in Winter","Alfalfa/Grass","Crop",406.23,87.4433517456055,4.64563619635515,2010-01-01
"5","Arizona",2010,"Citrus - Declining","Citrus","Crop",1070.4,422.205887317657,2.5352559785474,2010-01-01
"6","Arizona",2010,"Citrus - Mature","Citrus","Crop",32493.02,8986.91544175148,3.61559204719382,2010-01-01
"7","Arizona",2010,"Citrus - Young","Citrus","Crop",1758.63,834.35568857193,2.10777013219631,2010-01-01
"8","Arizona",2010,"Cotton","Cotton","Crop",88117.79,28901.2827606201,3.04892314745511,2010-01-01
"9","Arizona",2010,"Crucifers Fall Early","Vegetables","Crop",2134.07,4331.85368728638,0.492645909593695,2010-01-01
"10","Arizona",2010,"Crucifers Fall Late","Vegetables","Crop",199.09,1032.87799549103,0.192752678311588,2010-01-01
"11","Arizona",2010,"Crucifers Spring Early","Vegetables","Crop",408.75,1565.40915489197,0.261113842807575,2010-01-01
"12","Arizona",2010,"Crucifers Spring Late","Vegetables","Crop",1376.69,2435.49869441986,0.565260003281558,2010-01-01
"13","Arizona",2010,"Dates","Dates","Crop",21592.88,3767.98319578171,5.73062003678079,2010-01-01
"14","Arizona",2010,"Deciduous Orchards","Other","Crop",5779.17,1274.22585952282,4.53543612916804,2010-01-01
"15","Arizona",2010,"Fall Melons","Melons","Crop",1025.68,996.803039550782,1.02896957503484,2010-01-01
"16","Arizona",2010,"Farm Pond","Other","Open Water",619.14,129.588226318359,4.77774885566348,2010-01-01
"17","Arizona",2010,"Field Grain","Grains","Crop",3936.11,1779.16796278954,2.21233187777764,2010-01-01
"18","Arizona",2010,"Gila Gravity Main Canal","Other","Open Water",2311.68,398,5.80824120603015,2010-01-01
"19","Arizona",2010,"Grapes","Grapes","Crop",15.97,5.43817293643952,2.93664805931234,2010-01-01
"20","Arizona",2010,"Jojoba Beans","Other","Crop",1085.78,234.174957275391,4.63661875989206,2010-01-01
"21","Arizona",2010,"Legume/Solanum Vegetables","Vegetables","Crop",3702.94,1484.50684905052,2.49439064721619,2010-01-01
"22","Arizona",2010,"Legume/Solanum Vegetables Spring","Vegetables","Crop",15.98,31.3501434326172,0.509726535521179,2010-01-01
"23","Arizona",2010,"Lettuce Fall Early","Vegetables","Crop",9101.9,13205.468919754,0.689252313212785,2010-01-01
"24","Arizona",2010,"Lettuce Fall Late","Vegetables","Crop",4266.96,34987.6600753665,0.121956140845332,2010-01-01
"25","Arizona",2010,"Lettuce Spring Early","Vegetables","Crop",4563.4,14589.5875988007,0.312784715064539,2010-01-01
"26","Arizona",2010,"Lettuce Spring Late","Vegetables","Crop",20385.71,30060.6325130463,0.678153062519647,2010-01-01
"27","Arizona",2010,"Maintained","Other","Open Water",26489.8,5406.95994508267,4.89920403869294,2010-01-01
"28","Arizona",2010,"Miscellaneous herbs","Vegetables","Crop",444.96,155.329681396484,2.86461670428734,2010-01-01
"29","Arizona",2010,"Moist Soil Unit","Other","Crop",1233.36,250.48833656311,4.92382207061069,2010-01-01
"30","Arizona",2010,"Not Maintained","Other","Open Water",3898.73,751.600004371255,5.18724052331725,2010-01-01
"31","Arizona",2010,"Nursery or greenhouse","Other","Crop",893.01,412.383936524391,2.16548202029004,2010-01-01
"32","Arizona",2010,"Oil Crops","Other","Crop",57.64,20.1148509979248,2.86554446791312,2010-01-01
"33","Arizona",2010,"Perennial Vegetables","Vegetables","Crop",1925.57,436.801692962646,4.4083391411321,2010-01-01
"34","Arizona",2010,"River","Other","Mainstream Open Water",150585.76,31687.2301871069,4.75225379784918,2010-01-01
"35","Arizona",2010,"Small Grains Fall","Grains","Crop",69.65,1097.97016525269,0.0634352391387345,2010-01-01
"36","Arizona",2010,"Small Grains Spring","Grains","Crop",72098.28,45085.453710556,1.59914726516591,2010-01-01
"37","Arizona",2010,"Small Vegetables Fall","Vegetables","Crop",217.22,519.892405986786,0.417817220445265,2010-01-01
"38","Arizona",2010,"Small Vegetables Spring","Vegetables","Crop",692.49,536.735790252685,1.29018785886067,2010-01-01
"39","Arizona",2010,"Small Vegetables Spring Late","Vegetables","Crop",1141.85,743.546163082123,1.53568138293773,2010-01-01
"40","Arizona",2010,"Spring Melons","Melons","Crop",4311.79,2523.22339200974,1.70884195733683,2010-01-01
"41","Arizona",2010,"Sudan","Alfalfa/Grass","Crop",94371.44,26993.5737749338,3.49607061246678,2010-01-01
"42","Arizona",2010,"Sugar Beets Fall","Sugar Beets","Crop",86.97,173.191055297852,0.502162192212698,2010-01-01
"43","Arizona",2010,"Undetermined Open Water","Other","Open Water",78.13,15.6352260708809,4.99704958826976,2010-01-01
"44","Arizona",2010,"aw","Other","Riparian",17999.65,6828.48943090439,2.63596366108984,2010-01-01
"45","Arizona",2010,"barren","Other","Riparian",26447.04,31662.1087273955,0.835289911600764,2010-01-01
"46","Arizona",2010,"cw","Other","Riparian",3400.35,701.212236762047,4.84924509546728,2010-01-01
"47","Arizona",2010,"low veg","Vegetables","Riparian",22405.96,8498.82942122221,2.6363583606056,2010-01-01
"48","Arizona",2010,"marsh","Other","Riparian",32968.28,5850.22331675887,5.63538829458993,2010-01-01
"49","Arizona",2010,"ms_aw","Other","Riparian",10919.49,4228.01556605101,2.58265132410543,2010-01-01
"50","Arizona",2010,"ms_high","Other","Riparian",12114.31,3435.19655963778,3.5265260050439,2010-01-01
"51","Arizona",2010,"ms_low","Other","Riparian",19028.69,7348.9845572412,2.58929514027219,2010-01-01
"52","Arizona",2010,"sc/ms","Other","Riparian",33559.33,9540.72641271354,3.51748164115474,2010-01-01
"53","Arizona",2010,"sc_aw","Other","Riparian",10468.81,4035.02224159241,2.59448631833774,2010-01-01
"54","Arizona",2010,"sc_high","Other","Riparian",39655.26,11312.732991159,3.5053651519037,2010-01-01
"55","Arizona",2010,"sc_low","Other","Riparian",40363.74,15670.9141217768,2.57571062455822,2010-01-01
"56","Arizona",2010,"sc_ms_aw","Other","Riparian",7482.28,2898.42440193892,2.58149910516717,2010-01-01
"57","Arizona",2011,"Alfalfa","Alfalfa/Grass","Crop",446305.29,85390.9263186455,5.22661258333893,2011-01-01
