"","State","Year","Type","ET","Acres","ET_per_Acre","Date"
"1","Arizona",2010,"Crop",879615.84,329318.41222712,2.6710193154744,2010-01-01
"2","Arizona",2010,"Mainstream Open Water",150585.76,31687.2301871069,4.75225379784918,2010-01-01
"3","Arizona",2010,"Open Water",35328.28,7023.78340184316,5.02980772310394,2010-01-01
"4","Arizona",2010,"Riparian",276813.19,112010.879985154,2.47130626986137,2010-01-01
"5","Arizona",2011,"Crop",917656.37,338370.245534957,2.71198895916278,2011-01-01
"6","Arizona",2011,"Mainstream Open Water",152194.28,31440.1203392744,4.84076645883196,2011-01-01
"7","Arizona",2011,"Open Water",34929.88,6804.52478563414,5.13333129063542,2011-01-01
"8","Arizona",2011,"Riparian",319160.54,101785.929182865,3.13560570269598,2011-01-01
"9","Arizona",2012,"Crop",867832.515656203,334266.193422377,2.59623178392921,2012-01-01
"10","Arizona",2012,"Mainstream Open Water",144365.049675964,29288.7688365579,4.92902417583937,2012-01-01
"11","Arizona",2012,"Maintained Open Water",31674.0147664969,6188.65622512507,5.11807630191265,2012-01-01
"12","Arizona",2012,"Not Maintained Open Water",3805.04600767732,735.686801795382,5.17210040793368,2012-01-01
"13","Arizona",2012,"Riparian",316043.375908496,101540.451910579,3.11248738765528,2012-01-01
"14","Arizona",2013,"Crop",915606.41,343276.811089396,2.66725389080114,2013-01-01
"15","Arizona",2013,"Mainstream Open Water",144084.52,29201.3582768738,4.93417185029056,2013-01-01
"16","Arizona",2013,"Maintained Open Water",4615.11,804.960690528562,5.73333586882308,2013-01-01
"17","Arizona",2013,"Not Maintained Open Water",30924.48,6103.62204668717,5.06657846168321,2013-01-01
"18","Arizona",2013,"Riparian",319456.76,100665.89550451,3.17343583344658,2013-01-01
"19","Arizona",2014,"Crop",973807.97,355499.776781102,2.73926464544483,2014-01-01
"20","Arizona",2014,"Mainstream Open Water",143732.97,29284.2038316429,4.90820822127629,2014-01-01
"21","Arizona",2014,"Open Water",35939,6932.97557300769,5.18377709852637,2014-01-01
"22","Arizona",2014,"Riparian",320742.55,100651.97117055,3.18664946418702,2014-01-01
"23","Arizona",2015,"Crop",891847.64,324722.958553284,2.7464877875386,2015-01-01
"24","Arizona",2015,"Mainstream Open Water",143377.78,28844.3493071198,4.97074066304588,2015-01-01
"25","Arizona",2015,"Maintained Open Water",33338.62,6379.12076561422,5.22620925750572,2015-01-01
"26","Arizona",2015,"Riparian",323535.04,100645.726542086,3.21459292029366,2015-01-01
"27","Arizona",2016,"Crop",880599,335651,2.62355541917051,2016-01-01
"28","Arizona",2016,"Mainstream Open Water",141599,28976,4.88676836002209,2016-01-01
"29","Arizona",2016,"Maintained Open Water",32646,6255,5.21918465227818,2016-01-01
"30","Arizona",2016,"Riparian",298204,90380,3.29944678026112,2016-01-01
"31","California",2010,"Crop",1884424.36,633557.012300603,2.97435640899496,2010-01-01
"32","California",2010,"Mainstream Open Water",62247.33,12877.8299695104,4.8336816177397,2010-01-01
"33","California",2010,"Open Water",27635.55,4847.75255557336,5.70069319405092,2010-01-01
"34","California",2010,"Riparian",111320.55,44562.195410341,2.49809393309575,2010-01-01
"35","California",2011,"Crop",2017533.21,691025.669042528,2.91962122448426,2011-01-01
"36","California",2011,"Mainstream Open Water",63162.24,12835.6962526441,4.92082694672593,2011-01-01
"37","California",2011,"Open Water",30174.48,5156.36527330428,5.85188953859037,2011-01-01
"38","California",2011,"Riparian",127908.97,38500.0457761884,3.32230695889482,2011-01-01
"39","California",2012,"Crop",2129094.07743753,744706.10381496,2.85897223955956,2012-01-01
"40","California",2012,"Mainstream Open Water",68289.812151562,13758.4859646559,4.96346853331038,2012-01-01
"41","California",2012,"Maintained Open Water",22333.5321394408,3807.00316274166,5.8664338285858,2012-01-01
"42","California",2012,"Not Maintained Open Water",7249.0256772238,1316.15111939609,5.5077457067012,2012-01-01
"43","California",2012,"Riparian",122524.636232132,37726.5598031986,3.24770233149494,2012-01-01
"44","California",2013,"Crop",2046053.19,673018.986897767,3.04011213625805,2013-01-01
"45","California",2013,"Mainstream Open Water",68623.38,13741.459859252,4.99389298538005,2013-01-01
"46","California",2013,"Maintained Open Water",3277.98,576.709989547729,5.683931368296,2013-01-01
"47","California",2013,"Not Maintained Open Water",25893.16,4554.5155467391,5.68516228219678,2013-01-01
"48","California",2013,"Riparian",124645.9,37595.916795915,3.31541057175505,2013-01-01
"49","California",2014,"Crop",2125316.21,679620.987036288,3.12720803291868,2014-01-01
"50","California",2014,"Mainstream Open Water",68414.4,13747.1623378992,4.97661977929729,2014-01-01
"51","California",2014,"Open Water",30027.74,5118.8784481287,5.86607795130927,2014-01-01
"52","California",2014,"Riparian",125371.23,37619.5453985748,3.3326088519068,2014-01-01
"53","California",2015,"Crop",2023885.72,655927.791774333,3.08553128161446,2015-01-01
"54","California",2015,"Mainstream Open Water",68156.66,13509.1668726206,5.04521564080573,2015-01-01
"55","California",2015,"Maintained Open Water",28244.41,4838.3152179718,5.83765396166972,2015-01-01
"56","California",2015,"Riparian",125968.26,37488.1174938497,3.36021834173632,2015-01-01
"57","California",2016,"Crop",2119580,698343,3.03515607659846,2016-01-01
"58","California",2016,"Mainstream Open Water",67442,13510,4.9920059215396,2016-01-01
"59","California",2016,"Maintained Open Water",30112,4981,6.04537241517767,2016-01-01
"60","California",2016,"Riparian",126404,37485,3.37212218220622,2016-01-01
"61","Nevada",2010,"Crop",1100.96,406.383636474609,2.70916420146949,2010-01-01
"62","Nevada",2010,"Mainstream Open Water",61676.3,13306.6900405884,4.63498434335462,2010-01-01
"63","Nevada",2010,"Open Water",501.53,108.250000238419,4.63307158332924,2010-01-01
"64","Nevada",2010,"Riparian",11575.57,6554.94204163551,1.76593018313123,2010-01-01
"65","Nevada",2011,"Crop",1049.16,406.38525390625,2.58168816391658,2011-01-01
"66","Nevada",2011,"Mainstream Open Water",63260.61,13355.7778015137,4.73657251117418,2011-01-01
"67","Nevada",2011,"Open Water",362.07,76.413618683815,4.73829150139031,2011-01-01
"68","Nevada",2011,"Riparian",16047.74,6215.81612539292,2.58175912483022,2011-01-01
"69","Nevada",2012,"Crop",1887.4489192577,412.045039653778,4.58068593871104,2012-01-01
"70","Nevada",2012,"Mainstream Open Water",71128.1753680804,14547.9447479248,4.88922501429121,2012-01-01
"71","Nevada",2012,"Maintained Open Water",351.687791008854,71.9311935901642,4.88922501429121,2012-01-01
"72","Nevada",2012,"Not Maintained Open Water",14.8753403820672,3.04421746730804,4.88642501457731,2012-01-01
"73","Nevada",2012,"Riparian",16719.1764910442,6233.1970539093,2.68227947014099,2012-01-01
"74","Nevada",2013,"Crop",2222.88,412.045043945312,5.39474999800028,2013-01-01
"75","Nevada",2013,"Mainstream Open Water",70781.56,14544.1120185852,4.86668143847845,2013-01-01
"76","Nevada",2013,"Not Maintained Open Water",351.52,72.2292041778564,4.86672951752896,2013-01-01
"77","Nevada",2013,"Riparian",16653.92,6233.2024679184,2.67180796480074,2013-01-01
"78","Nevada",2014,"Crop",1832.27,359.582714080811,5.0955452758172,2014-01-01
"79","Nevada",2014,"Mainstream Open Water",70168.11,14544.0997886658,4.8245069148028,2014-01-01
"80","Nevada",2014,"Open Water",348.71,72.2291431427002,4.82782966580495,2014-01-01
"81","Nevada",2014,"Riparian",16525.51,6233.19693183899,2.65120935223275,2014-01-01
"82","Nevada",2015,"Crop",1446.59,411.557144165039,3.51491893776943,2015-01-01
"83","Nevada",2015,"Mainstream Open Water",71034.81,14522.9647483826,4.89120584059196,2015-01-01
"84","Nevada",2015,"Maintained Open Water",328.3,67.1075097322464,4.89214994431906,2015-01-01
"85","Nevada",2015,"Riparian",16838.38,6233.19699287415,2.70140347228714,2015-01-01
"86","Nevada",2016,"Crop",1988,407,4.88452088452088,2016-01-01
"87","Nevada",2016,"Mainstream Open Water",69057,14479,4.76945921679674,2016-01-01
"88","Nevada",2016,"Maintained Open Water",319,66,4.83333333333333,2016-01-01
"89","Nevada",2016,"Riparian",16572,6230,2.66003210272873,2016-01-01
