"","Water_Year","State","Category","Region","Apportionment_Countable","Consumptive_Use","Consumptive_Use_MAF","Date"
"1",1971,"Arizona","Agriculture","Lower Basin","Yes",1054471,1.054471,1971-01-01
"2",1971,"Arizona","Agriculture","Upper Basin","Yes",3348.86471004534,0.00334886471004534,1971-01-01
"3",1971,"Arizona","Export","Lower Basin","Yes",0,0,1971-01-01
"4",1971,"Arizona","Export","Upper Basin","Yes",0,0,1971-01-01
"5",1971,"Arizona","Export Within System","Lower Basin","Yes",0,0,1971-01-01
"6",1971,"Arizona","Import","Upper Basin","Yes",0,0,1971-01-01
"7",1971,"Arizona","Mineral","Upper Basin","Yes",0,0,1971-01-01
"8",1971,"Arizona","Municipal and Industrial","Lower Basin","Yes",11541,0.011541,1971-01-01
"9",1971,"Arizona","Municipal and Industrial","Upper Basin","Yes",2409.9,0.0024099,1971-01-01
"10",1971,"Arizona","Power","Lower Basin","Yes",0,0,1971-01-01
"11",1971,"Arizona","Power","Upper Basin","Yes",0,0,1971-01-01
"12",1971,"Arizona","Reservoir Evaporation","Upper Basin","Yes",4053.704,0.004053704,1971-01-01
"13",1971,"California","Agriculture","Lower Basin","Yes",419459,0.419459,1971-01-01
"14",1971,"California","Export","Lower Basin","Yes",3669117,3.669117,1971-01-01
"15",1971,"California","Export Within System","Lower Basin","Yes",0,0,1971-01-01
"16",1971,"California","Municipal and Industrial","Lower Basin","Yes",3751,0.003751,1971-01-01
"17",1971,"California","Power","Lower Basin","Yes",0,0,1971-01-01
"18",1971,"Colorado","Agriculture","Upper Basin","Yes",1304607.39874997,1.30460739874997,1971-01-01
"19",1971,"Colorado","Export","Upper Basin","Yes",324879.15,0.32487915,1971-01-01
"20",1971,"Colorado","Import","Upper Basin","Yes",-1.01,-1.01e-06,1971-01-01
"21",1971,"Colorado","Mineral","Upper Basin","Yes",13634.4,0.0136344,1971-01-01
"22",1971,"Colorado","Municipal and Industrial","Upper Basin","Yes",15124.2,0.0151242,1971-01-01
"23",1971,"Colorado","Power","Upper Basin","Yes",3827.49,0.00382749,1971-01-01
"24",1971,"Colorado","Reservoir Evaporation","Upper Basin","Yes",64574.6459014961,0.0645746459014961,1971-01-01
"25",1971,"Lake Powell","Reservoir Evaporation","Upper Basin","Yes",295321.6081958,0.2953216081958,1971-01-01
"26",1971,"Lower Basin Reservoirs","Reservoir Evaporation","Lower Basin","No",725105,0.725105,1971-01-01
"27",1971,"Mexico","Mexico Deliveries","Mexico","Yes",1283239,1.283239,1971-01-01
"28",1971,"Nevada","Agriculture","Lower Basin","Yes",0,0,1971-01-01
"29",1971,"Nevada","Export","Lower Basin","Yes",0,0,1971-01-01
"30",1971,"Nevada","Export Within System","Lower Basin","Yes",0,0,1971-01-01
"31",1971,"Nevada","Municipal and Industrial","Lower Basin","Yes",33757,0.033757,1971-01-01
"32",1971,"Nevada","Power","Lower Basin","Yes",4079,0.004079,1971-01-01
"33",1971,"New Mexico","Agriculture","Upper Basin","Yes",85515.5009384046,0.0855155009384046,1971-01-01
"34",1971,"New Mexico","Export","Upper Basin","Yes",54269.1576,0.0542691576,1971-01-01
"35",1971,"New Mexico","Mineral","Upper Basin","Yes",1854.4,0.0018544,1971-01-01
"36",1971,"New Mexico","Municipal and Industrial","Upper Basin","Yes",3240.9,0.0032409,1971-01-01
"37",1971,"New Mexico","Power","Upper Basin","Yes",11079.841,0.011079841,1971-01-01
