"","Water_Year","Consumptive_Use_MAF","Date","Type"
"1",1971,10.5592027459166,1971-01-01,"Evap"
"2",1972,12.8586218154154,1972-01-01,"Evap"
"3",1973,12.4927393824329,1973-01-01,"Evap"
"4",1974,13.5552716897696,1974-01-01,"Evap"
"5",1975,12.7966219116818,1975-01-01,"Evap"
"6",1976,12.5765589433263,1976-01-01,"Evap"
"7",1977,12.0519705770144,1977-01-01,"Evap"
"8",1978,12.5211085331512,1978-01-01,"Evap"
"9",1979,13.5810776036406,1979-01-01,"Evap"
"10",1980,17.1222752578936,1980-01-01,"Evap"
"11",1981,15.3058529516969,1981-01-01,"Evap"
"12",1982,12.5123856304893,1982-01-01,"Evap"
"13",1983,19.7490797370752,1983-01-01,"Evap"
"14",1984,27.8053042470331,1984-01-01,"Evap"
"15",1985,24.5432313317085,1985-01-01,"Evap"
"16",1986,22.4128890333822,1986-01-01,"Evap"
"17",1987,18.2194914943377,1987-01-01,"Evap"
"18",1988,15.2396622762675,1988-01-01,"Evap"
"19",1989,14.9032671025894,1989-01-01,"Evap"
"20",1990,14.5857632431827,1990-01-01,"Evap"
"21",1991,13.6328470848349,1991-01-01,"Evap"
"22",1992,12.9405509111568,1992-01-01,"Evap"
"23",1993,16.9347649681781,1993-01-01,"Evap"
"24",1994,14.9068341730468,1994-01-01,"Evap"
"25",1995,13.7117290211126,1995-01-01,"Evap"
"26",1996,15.6047516524271,1996-01-01,"Evap"
"27",1997,15.7717916708863,1997-01-01,"Evap"
"28",1998,16.9688987563593,1998-01-01,"Evap"
"29",1999,16.6065939715437,1999-01-01,"Evap"
"30",2000,17.0587177276945,2000-01-01,"Evap"
"31",2001,16.0225600033177,2001-01-01,"Evap"
"32",2002,15.5652006033479,2002-01-01,"Evap"
"33",2003,14.1321984244195,2003-01-01,"Evap"
"34",2004,14.365525304675,2004-01-01,"Evap"
"35",2005,13.6446853852049,2005-01-01,"Evap"
"36",2006,14.3312013877263,2006-01-01,"Evap"
"37",2007,14.3018856902004,2007-01-01,"Evap"
"38",2008,14.5238533330492,2008-01-01,"Evap"
"39",2009,14.3533715667744,2009-01-01,"Evap"
"40",2010,14.1862338380572,2010-01-01,"Evap"
"41",2011,14.5883365888882,2011-01-01,"Evap"
"42",2012,14.5197073110784,2012-01-01,"Evap"
"43",2013,13.3456428582974,2013-01-01,"Evap"
"44",2014,14.0386473005391,2014-01-01,"Evap"
"45",2015,13.9538061131726,2015-01-01,"Evap"
"46",2016,13.931978383503,2016-01-01,"Evap"
"47",2017,13.7394867459391,2017-01-01,"Evap"
"48",2018,14.5116517375919,2018-01-01,"Evap"
"49",2019,13.7893695012705,2019-01-01,"Evap"
"50",2020,13.5809258560394,2020-01-01,"Evap"
"51",2021,13.6792074902135,2021-01-01,"Evap"
"52",2022,13.247128969506,2022-01-01,"Evap"
"53",2023,12.9114100196864,2023-01-01,"Evap"
"54",2024,12.565657962919,2024-01-01,"Evap"
"55",1971,9.83409774591665,1971-01-01,"No Evap"
"56",1972,11.8624558154154,1972-01-01,"No Evap"
"57",1973,11.4700033824329,1973-01-01,"No Evap"
"58",1974,12.4821866897696,1974-01-01,"No Evap"
"59",1975,11.7525439116818,1975-01-01,"No Evap"
"60",1976,11.5312209433263,1976-01-01,"No Evap"
"61",1977,10.9749805770144,1977-01-01,"No Evap"
"62",1978,11.5027925331512,1978-01-01,"No Evap"
"63",1979,12.5227666036406,1979-01-01,"No Evap"
"64",1980,16.0366412578936,1980-01-01,"No Evap"
"65",1981,14.1703799516969,1981-01-01,"No Evap"
"66",1982,11.3940116304893,1982-01-01,"No Evap"
"67",1983,18.6134987370752,1983-01-01,"No Evap"
"68",1984,26.6555942470331,1984-01-01,"No Evap"
"69",1985,23.3866953317085,1985-01-01,"No Evap"
"70",1986,21.2348910333822,1986-01-01,"No Evap"
"71",1987,17.0422074943377,1987-01-01,"No Evap"
"72",1988,14.1174822762675,1988-01-01,"No Evap"
"73",1989,13.7390881025894,1989-01-01,"No Evap"
"74",1990,13.4985192431827,1990-01-01,"No Evap"
"75",1991,12.5835380848349,1991-01-01,"No Evap"
"76",1992,11.9478439111568,1992-01-01,"No Evap"
"77",1993,15.9229639681781,1993-01-01,"No Evap"
"78",1994,13.7919681730468,1994-01-01,"No Evap"
"79",1995,12.6675870211127,1995-01-01,"No Evap"
"80",1996,14.4402276524271,1996-01-01,"No Evap"
"81",1997,14.6356156708863,1997-01-01,"No Evap"
"82",1998,15.8255927563593,1998-01-01,"No Evap"
"83",1999,15.4144539715437,1999-01-01,"No Evap"
"84",2000,15.8458237276944,2000-01-01,"No Evap"
"85",2001,14.9241150033177,2001-01-01,"No Evap"
"86",2002,14.4885546033479,2002-01-01,"No Evap"
"87",2003,13.1878554244195,2003-01-01,"No Evap"
"88",2004,13.463340304675,2004-01-01,"No Evap"
"89",2005,12.8359043852049,2005-01-01,"No Evap"
"90",2006,13.4110183877263,2006-01-01,"No Evap"
"91",2007,13.4215376902004,2007-01-01,"No Evap"
"92",2008,13.6666263330492,2008-01-01,"No Evap"
"93",2009,13.5183365667744,2009-01-01,"No Evap"
"94",2010,13.4026278380572,2010-01-01,"No Evap"
