"","Water_Year","Region","Consumptive_Use_MAF","Date","Type"
"1",1971,"Lower Basin",5.92128,1971-01-01,"Evap"
"2",1971,"Mexico",1.283239,1971-01-01,"Evap"
"3",1971,"Upper Basin",3.35468374591664,1971-01-01,"Evap"
"4",1972,"Lower Basin",7.535915,1972-01-01,"Evap"
"5",1972,"Mexico",1.600485,1972-01-01,"Evap"
"6",1972,"Upper Basin",3.72222181541539,1972-01-01,"Evap"
"7",1973,"Lower Basin",7.232461,1973-01-01,"Evap"
"8",1973,"Mexico",1.593723,1973-01-01,"Evap"
"9",1973,"Upper Basin",3.66655538243294,1973-01-01,"Evap"
"10",1974,"Lower Basin",7.825395,1974-01-01,"Evap"
"11",1974,"Mexico",1.720496,1974-01-01,"Evap"
"12",1974,"Upper Basin",4.00938068976956,1974-01-01,"Evap"
"13",1975,"Lower Basin",7.269294,1975-01-01,"Evap"
"14",1975,"Mexico",1.655579,1975-01-01,"Evap"
"15",1975,"Upper Basin",3.87174891168183,1975-01-01,"Evap"
"16",1976,"Lower Basin",7.087646,1976-01-01,"Evap"
"17",1976,"Mexico",1.748916,1976-01-01,"Evap"
"18",1976,"Upper Basin",3.73999694332633,1976-01-01,"Evap"
"19",1977,"Lower Basin",7.057614,1977-01-01,"Evap"
"20",1977,"Mexico",1.833044,1977-01-01,"Evap"
"21",1977,"Upper Basin",3.16131257701435,1977-01-01,"Evap"
"22",1978,"Lower Basin",6.814015,1978-01-01,"Evap"
"23",1978,"Mexico",1.744496,1978-01-01,"Evap"
"24",1978,"Upper Basin",3.96259753315123,1978-01-01,"Evap"
"25",1979,"Lower Basin",6.727702,1979-01-01,"Evap"
"26",1979,"Mexico",2.766462,1979-01-01,"Evap"
"27",1979,"Upper Basin",4.0869136036406,1979-01-01,"Evap"
"28",1980,"Lower Basin",6.915728,1980-01-01,"Evap"
"29",1980,"Mexico",6.140261,1980-01-01,"Evap"
"30",1980,"Upper Basin",4.06628625789362,1980-01-01,"Evap"
"31",1981,"Lower Basin",7.319518,1981-01-01,"Evap"
"32",1981,"Mexico",3.865603,1981-01-01,"Evap"
"33",1981,"Upper Basin",4.12073195169687,1981-01-01,"Evap"
"34",1982,"Lower Basin",6.669748,1982-01-01,"Evap"
"35",1982,"Mexico",1.670553,1982-01-01,"Evap"
"36",1982,"Upper Basin",4.17208463048934,1982-01-01,"Evap"
"37",1983,"Lower Basin",6.096403,1983-01-01,"Evap"
"38",1983,"Mexico",9.615858,1983-01-01,"Evap"
"39",1983,"Upper Basin",4.03681873707523,1983-01-01,"Evap"
"40",1984,"Lower Basin",6.939114,1984-01-01,"Evap"
"41",1984,"Mexico",16.803519,1984-01-01,"Evap"
"42",1984,"Upper Basin",4.06267124703314,1984-01-01,"Evap"
"43",1985,"Lower Basin",7.033501,1985-01-01,"Evap"
"44",1985,"Mexico",13.265054,1985-01-01,"Evap"
"45",1985,"Upper Basin",4.24467633170848,1985-01-01,"Evap"
"46",1986,"Lower Basin",7.179004,1986-01-01,"Evap"
"47",1986,"Mexico",11.00872,1986-01-01,"Evap"
"48",1986,"Upper Basin",4.22516503338224,1986-01-01,"Evap"
"49",1987,"Lower Basin",7.583696,1987-01-01,"Evap"
"50",1987,"Mexico",6.375973,1987-01-01,"Evap"
"51",1987,"Upper Basin",4.25982249433771,1987-01-01,"Evap"
"52",1988,"Lower Basin",7.737254,1988-01-01,"Evap"
"53",1988,"Mexico",2.903058,1988-01-01,"Evap"
"54",1988,"Upper Basin",4.5993502762675,1988-01-01,"Evap"
"55",1989,"Lower Basin",8.336524,1989-01-01,"Evap"
"56",1989,"Mexico",1.809865,1989-01-01,"Evap"
"57",1989,"Upper Basin",4.7568781025894,1989-01-01,"Evap"
"58",1990,"Lower Basin",8.415678,1990-01-01,"Evap"
"59",1990,"Mexico",1.659179,1990-01-01,"Evap"
"60",1990,"Upper Basin",4.51090624318271,1990-01-01,"Evap"
"61",1991,"Lower Basin",7.931633,1991-01-01,"Evap"
"62",1991,"Mexico",1.672878,1991-01-01,"Evap"
"63",1991,"Upper Basin",4.02833608483495,1991-01-01,"Evap"
"64",1992,"Lower Basin",7.336031,1992-01-01,"Evap"
"65",1992,"Mexico",1.655046,1992-01-01,"Evap"
"66",1992,"Upper Basin",3.94947391115685,1992-01-01,"Evap"
"67",1993,"Lower Basin",7.809077,1993-01-01,"Evap"
"68",1993,"Mexico",4.965016,1993-01-01,"Evap"
"69",1993,"Upper Basin",4.16067196817805,1993-01-01,"Evap"
"70",1994,"Lower Basin",8.542575,1994-01-01,"Evap"
"71",1994,"Mexico",1.948616,1994-01-01,"Evap"
"72",1994,"Upper Basin",4.41564317304685,1994-01-01,"Evap"
"73",1995,"Lower Basin",8.126477,1995-01-01,"Evap"
