"","Water_Year","State","Region","Consumptive_Use_MAF","Date"
"1",1971,"Arizona","Lower Basin",1.066012,1971-01-01
"2",1971,"Arizona","Upper Basin",0.00981246871004534,1971-01-01
"3",1971,"California","Lower Basin",4.092327,1971-01-01
"4",1971,"Colorado","Upper Basin",1.72664627465147,1971-01-01
"5",1971,"Lake Powell","Upper Basin",0.2953216081958,1971-01-01
"6",1971,"Lower Basin Reservoirs","Lower Basin",0.725105,1971-01-01
"7",1971,"Mexico","Mexico",1.283239,1971-01-01
"8",1971,"Nevada","Lower Basin",0.037836,1971-01-01
"9",1971,"New Mexico","Upper Basin",0.174423183862805,1971-01-01
"10",1971,"Utah","Upper Basin",0.793252467730757,1971-01-01
"11",1971,"Wyoming","Upper Basin",0.355227742765767,1971-01-01
"12",1972,"Arizona","Lower Basin",1.149226,1972-01-01
"13",1972,"Arizona","Upper Basin",0.0120624201136073,1972-01-01
"14",1972,"California","Lower Basin",5.313503,1972-01-01
"15",1972,"Colorado","Upper Basin",1.90961506593841,1972-01-01
"16",1972,"Lake Powell","Upper Basin",0.3897104624375,1972-01-01
"17",1972,"Lower Basin Reservoirs","Lower Basin",0.996166,1972-01-01
"18",1972,"Mexico","Mexico",1.600485,1972-01-01
"19",1972,"Nevada","Lower Basin",0.07702,1972-01-01
"20",1972,"New Mexico","Upper Basin",0.188777413485747,1972-01-01
"21",1972,"Utah","Upper Basin",0.866460518695861,1972-01-01
"22",1972,"Wyoming","Upper Basin",0.355595934744257,1972-01-01
"23",1973,"Arizona","Lower Basin",1.070161,1973-01-01
"24",1973,"Arizona","Upper Basin",0.0115927203124199,1973-01-01
"25",1973,"California","Lower Basin",5.051243,1973-01-01
"26",1973,"Colorado","Upper Basin",1.71101049555637,1973-01-01
"27",1973,"Lake Powell","Upper Basin",0.4213033621044,1973-01-01
"28",1973,"Lower Basin Reservoirs","Lower Basin",1.022736,1973-01-01
"29",1973,"Mexico","Mexico",1.593723,1973-01-01
"30",1973,"Nevada","Lower Basin",0.088321,1973-01-01
"31",1973,"New Mexico","Upper Basin",0.328510444062498,1973-01-01
"32",1973,"Utah","Upper Basin",0.846328990017098,1973-01-01
"33",1973,"Wyoming","Upper Basin",0.347809370380157,1973-01-01
"34",1974,"Arizona","Lower Basin",1.196165,1974-01-01
"35",1974,"Arizona","Upper Basin",0.0174565359663139,1974-01-01
"36",1974,"California","Lower Basin",5.45675,1974-01-01
"37",1974,"Colorado","Upper Basin",1.96638306953152,1974-01-01
"38",1974,"Lake Powell","Upper Basin",0.5206781865457,1974-01-01
"39",1974,"Lower Basin Reservoirs","Lower Basin",1.073085,1974-01-01
"40",1974,"Mexico","Mexico",1.720496,1974-01-01
"41",1974,"Nevada","Lower Basin",0.099395,1974-01-01
"42",1974,"New Mexico","Upper Basin",0.203711975351412,1974-01-01
"43",1974,"Utah","Upper Basin",0.886651644589553,1974-01-01
"44",1974,"Wyoming","Upper Basin",0.414499277785059,1974-01-01
"45",1975,"Arizona","Lower Basin",1.211375,1975-01-01
"46",1975,"Arizona","Upper Basin",0.0221155500839849,1975-01-01
"47",1975,"California","Lower Basin",4.918663,1975-01-01
"48",1975,"Colorado","Upper Basin",1.92887851382095,1975-01-01
"49",1975,"Lake Powell","Upper Basin",0.5370851283289,1975-01-01
"50",1975,"Lower Basin Reservoirs","Lower Basin",1.044078,1975-01-01
"51",1975,"Mexico","Mexico",1.655579,1975-01-01
"52",1975,"Nevada","Lower Basin",0.095178,1975-01-01
"53",1975,"New Mexico","Upper Basin",0.294819688873728,1975-01-01
"54",1975,"Utah","Upper Basin",0.758622560973458,1975-01-01
"55",1975,"Wyoming","Upper Basin",0.330227469600813,1975-01-01
"56",1976,"Arizona","Lower Basin",1.173209,1976-01-01
"57",1976,"Arizona","Upper Basin",0.0285747350353963,1976-01-01
"58",1976,"California","Lower Basin",4.785824,1976-01-01
"59",1976,"Colorado","Upper Basin",1.78893992006479,1976-01-01
"60",1976,"Lake Powell","Upper Basin",0.5635581500587,1976-01-01
