"","datetime","Elevation","Reservoir","Date"
"1","1935-02-02",670,"Lake Mead",1935-02-02
"2","1935-02-03",671.900024,"Lake Mead",1935-02-03
"3","1935-02-04",675.5,"Lake Mead",1935-02-04
"4","1935-02-05",675.900024,"Lake Mead",1935-02-05
"5","1935-02-06",676.5,"Lake Mead",1935-02-06
"6","1935-02-07",679.099976,"Lake Mead",1935-02-07
"7","1935-02-08",681.400024,"Lake Mead",1935-02-08
"8","1935-02-09",683.5,"Lake Mead",1935-02-09
"9","1935-02-10",688.200012,"Lake Mead",1935-02-10
"10","1935-02-11",693,"Lake Mead",1935-02-11
"11","1935-02-12",696,"Lake Mead",1935-02-12
"12","1935-02-13",699.5,"Lake Mead",1935-02-13
"13","1935-02-14",701.799988,"Lake Mead",1935-02-14
"14","1935-02-15",702.700012,"Lake Mead",1935-02-15
"15","1935-02-16",705.200012,"Lake Mead",1935-02-16
"16","1935-02-17",706,"Lake Mead",1935-02-17
"17","1935-02-18",707,"Lake Mead",1935-02-18
"18","1935-02-19",707.299988,"Lake Mead",1935-02-19
"19","1935-02-20",708.099976,"Lake Mead",1935-02-20
"20","1935-02-21",708.700012,"Lake Mead",1935-02-21
"21","1935-02-22",709.299988,"Lake Mead",1935-02-22
"22","1935-02-23",709.400024,"Lake Mead",1935-02-23
"23","1935-02-24",709.5,"Lake Mead",1935-02-24
"24","1935-02-25",709.5,"Lake Mead",1935-02-25
"25","1935-02-26",709.299988,"Lake Mead",1935-02-26
"26","1935-02-27",709.099976,"Lake Mead",1935-02-27
"27","1935-02-28",708.700012,"Lake Mead",1935-02-28
"28","1935-03-01",708.599976,"Lake Mead",1935-03-01
"29","1935-03-02",708.099976,"Lake Mead",1935-03-02
"30","1935-03-03",707.700012,"Lake Mead",1935-03-03
"31","1935-03-04",707.299988,"Lake Mead",1935-03-04
"32","1935-03-05",707.200012,"Lake Mead",1935-03-05
"33","1935-03-06",707.200012,"Lake Mead",1935-03-06
"34","1935-03-07",707.200012,"Lake Mead",1935-03-07
"35","1935-03-08",706.599976,"Lake Mead",1935-03-08
"36","1935-03-09",706,"Lake Mead",1935-03-09
"37","1935-03-10",705.200012,"Lake Mead",1935-03-10
"38","1935-03-11",704.799988,"Lake Mead",1935-03-11
"39","1935-03-12",704.5,"Lake Mead",1935-03-12
"40","1935-03-13",704.200012,"Lake Mead",1935-03-13
"41","1935-03-14",703.799988,"Lake Mead",1935-03-14
"42","1935-03-15",703.650024,"Lake Mead",1935-03-15
"43","1935-03-16",703.450012,"Lake Mead",1935-03-16
"44","1935-03-17",703.200012,"Lake Mead",1935-03-17
"45","1935-03-18",702.549988,"Lake Mead",1935-03-18
"46","1935-03-19",701.700012,"Lake Mead",1935-03-19
"47","1935-03-20",701.400024,"Lake Mead",1935-03-20
"48","1935-03-21",701.900024,"Lake Mead",1935-03-21
"49","1935-03-22",702.599976,"Lake Mead",1935-03-22
"50","1935-03-23",702.700012,"Lake Mead",1935-03-23
"51","1935-03-24",702.700012,"Lake Mead",1935-03-24
"52","1935-03-25",702.599976,"Lake Mead",1935-03-25
"53","1935-03-26",702.5,"Lake Mead",1935-03-26
"54","1935-03-27",702.450012,"Lake Mead",1935-03-27
"55","1935-03-28",702.349976,"Lake Mead",1935-03-28
"56","1935-03-29",702.400024,"Lake Mead",1935-03-29
"57","1935-03-30",702.200012,"Lake Mead",1935-03-30
"58","1935-03-31",701.700012,"Lake Mead",1935-03-31
"59","1935-04-01",701.400024,"Lake Mead",1935-04-01
"60","1935-04-02",701.25,"Lake Mead",1935-04-02
"61","1935-04-03",701.5,"Lake Mead",1935-04-03
"62","1935-04-04",701.900024,"Lake Mead",1935-04-04
"63","1935-04-05",702.700012,"Lake Mead",1935-04-05
"64","1935-04-06",703.799988,"Lake Mead",1935-04-06
"65","1935-04-07",704.900024,"Lake Mead",1935-04-07
"66","1935-04-08",706.400024,"Lake Mead",1935-04-08
"67","1935-04-09",708.099976,"Lake Mead",1935-04-09
"68","1935-04-10",711.5,"Lake Mead",1935-04-10
"69","1935-04-11",714.200012,"Lake Mead",1935-04-11
"70","1935-04-12",716.099976,"Lake Mead",1935-04-12
"71","1935-04-13",719.599976,"Lake Mead",1935-04-13
"72","1935-04-14",722.700012,"Lake Mead",1935-04-14
"73","1935-04-15",725,"Lake Mead",1935-04-15
"74","1935-04-16",726.799988,"Lake Mead",1935-04-16
"75","1935-04-17",728.299988,"Lake Mead",1935-04-17
"76","1935-04-18",729.599976,"Lake Mead",1935-04-18
"77","1935-04-19",730.700012,"Lake Mead",1935-04-19
"78","1935-04-20",731.900024,"Lake Mead",1935-04-20
"79","1935-04-21",733.599976,"Lake Mead",1935-04-21
"80","1935-04-22",735.700012,"Lake Mead",1935-04-22
"81","1935-04-23",738.099976,"Lake Mead",1935-04-23
"82","1935-04-24",740.200012,"Lake Mead",1935-04-24
"83","1935-04-25",742.299988,"Lake Mead",1935-04-25
"84","1935-04-26",744.200012,"Lake Mead",1935-04-26
