"","Date","Storage","Storage_MAF","Reservoir"
"1",1937-05-28,10046048.3,10.0460483,"Lake Mead"
"2",1937-05-29,10138665,10.138665,"Lake Mead"
"3",1937-05-30,10228958.7,10.2289587,"Lake Mead"
"4",1937-05-31,10302056.6,10.3020566,"Lake Mead"
"5",1937-06-01,10373112.5,10.3731125,"Lake Mead"
"6",1937-06-02,10446189.6,10.4461896,"Lake Mead"
"7",1937-06-03,10532678.7,10.5326787,"Lake Mead"
"8",1937-06-04,10630357.4,10.6303574,"Lake Mead"
"9",1937-06-05,10725404.3,10.7254043,"Lake Mead"
"10",1937-06-06,10808609.1,10.8086091,"Lake Mead"
"11",1937-06-07,10890493,10.890493,"Lake Mead"
"12",1937-06-08,10968202.6,10.9682026,"Lake Mead"
"13",1937-06-09,11046502.2,11.0465022,"Lake Mead"
"14",1937-06-10,11114903.1,11.1149031,"Lake Mead"
"15",1937-06-11,11171603.5,11.1716035,"Lake Mead"
"16",1937-06-12,11227563.1,11.2275631,"Lake Mead"
"17",1937-06-13,11277606.4,11.2776064,"Lake Mead"
"18",1937-06-14,11321284.7,11.3212847,"Lake Mead"
"19",1937-06-15,11360419.6,11.3604196,"Lake Mead"
"20",1937-06-16,11396801.8,11.3968018,"Lake Mead"
"21",1937-06-17,11433704.8,11.4337048,"Lake Mead"
"22",1937-06-18,11472398.7,11.4723987,"Lake Mead"
"23",1937-06-19,11511973.6,11.5119736,"Lake Mead"
"24",1937-06-20,11547314.1,11.5473141,"Lake Mead"
"25",1937-06-21,11581683.6,11.5816836,"Lake Mead"
"26",1937-06-22,11613881.3,11.6138813,"Lake Mead"
"27",1937-06-23,11649762.7,11.6497627,"Lake Mead"
"28",1937-06-24,11688595.5,11.6885955,"Lake Mead"
"29",1937-06-25,11724866.8,11.7248668,"Lake Mead"
"30",1937-06-26,11763000,11.763,"Lake Mead"
"31",1937-06-27,11800202.3,11.8002023,"Lake Mead"
"32",1937-06-28,11837404.5,11.8374045,"Lake Mead"
"33",1937-06-29,11874595.5,11.8745955,"Lake Mead"
"34",1937-06-30,11905292.7,11.9052927,"Lake Mead"
"35",1937-07-01,11936909.5,11.9369095,"Lake Mead"
"36",1937-07-02,11969677.2,11.9696772,"Lake Mead"
"37",1937-07-03,12002575,12.002575,"Lake Mead"
"38",1937-07-04,12031720.5,12.0317205,"Lake Mead"
"39",1937-07-05,12059925,12.059925,"Lake Mead"
"40",1937-07-06,12077779.5,12.0777795,"Lake Mead"
"41",1937-07-07,12096575,12.096575,"Lake Mead"
"42",1937-07-08,12114440.9,12.1144409,"Lake Mead"
"43",1937-07-09,12129484.1,12.1294841,"Lake Mead"
"44",1937-07-10,12138901.9,12.1389019,"Lake Mead"
"45",1937-07-11,12153154.2,12.1531542,"Lake Mead"
"46",1937-07-12,12162651.9,12.1626519,"Lake Mead"
"47",1937-07-13,12175953.2,12.1759532,"Lake Mead"
"48",1937-07-14,12193997.7,12.1939977,"Lake Mead"
"49",1937-07-15,12222502.3,12.2225023,"Lake Mead"
"50",1937-07-16,12232000,12.232,"Lake Mead"
"51",1937-07-17,12232000,12.232,"Lake Mead"
"52",1937-07-18,12232000,12.232,"Lake Mead"
"53",1937-07-19,12279500,12.2795,"Lake Mead"
"54",1937-07-20,12355504.6,12.3555046,"Lake Mead"
"55",1937-07-21,12423921.9,12.4239219,"Lake Mead"
"56",1937-07-22,12447921.9,12.4479219,"Lake Mead"
"57",1937-07-23,12469039.1,12.4690391,"Lake Mead"
"58",1937-07-24,12482480.5,12.4824805,"Lake Mead"
"59",1937-07-25,12494000,12.494,"Lake Mead"
"60",1937-07-26,12499765.6,12.4997656,"Lake Mead"
"61",1937-07-27,12504558.6,12.5045586,"Lake Mead"
"62",1937-07-28,12506480.5,12.5064805,"Lake Mead"
"63",1937-07-29,12505519.5,12.5055195,"Lake Mead"
"64",1937-07-30,12502636.7,12.5026367,"Lake Mead"
"65",1937-07-31,12496882.8,12.4968828,"Lake Mead"
"66",1937-08-01,12492078.1,12.4920781,"Lake Mead"
"67",1937-08-02,12495921.9,12.4959219,"Lake Mead"
"68",1937-08-03,12495921.9,12.4959219,"Lake Mead"
"69",1937-08-04,12494000,12.494,"Lake Mead"
"70",1937-08-05,12492078.1,12.4920781,"Lake Mead"
"71",1937-08-06,12487285.2,12.4872852,"Lake Mead"
"72",1937-08-07,12481519.5,12.4815195,"Lake Mead"
"73",1937-08-08,12476714.8,12.4767148,"Lake Mead"
"74",1937-08-09,12470960.9,12.4709609,"Lake Mead"
"75",1937-08-10,12463285.2,12.4632852,"Lake Mead"
"76",1937-08-11,12456558.6,12.4565586,"Lake Mead"
"77",1937-08-12,12446960.9,12.4469609,"Lake Mead"
"78",1937-08-13,12435441.4,12.4354414,"Lake Mead"
"79",1937-08-14,12424882.8,12.4248828,"Lake Mead"
"80",1937-08-15,12406808.3,12.4068083,"Lake Mead"
"81",1937-08-16,12385911.1,12.3859111,"Lake Mead"
"82",1937-08-17,12359308.3,12.3593083,"Lake Mead"
"83",1937-08-18,12334607.4,12.3346074,"Lake Mead"
"84",1937-08-19,12311808.3,12.3118083,"Lake Mead"
"85",1937-08-20,12283303.7,12.2833037,"Lake Mead"
"86",1937-08-21,12250995.4,12.2509954,"Lake Mead"
"87",1937-08-22,12232000,12.232,"Lake Mead"
"88",1937-08-23,12232000,12.232,"Lake Mead"
"89",1937-08-24,12232000,12.232,"Lake Mead"
"90",1937-08-25,12232000,12.232,"Lake Mead"
"91",1937-08-26,12232000,12.232,"Lake Mead"
"92",1937-08-27,12232000,12.232,"Lake Mead"
"93",1937-08-28,12232000,12.232,"Lake Mead"
"94",1937-08-29,12221551.4,12.2215514,"Lake Mead"
"95",1937-08-30,12203495.4,12.2034954,"Lake Mead"
"96",1937-08-31,12187352.8,12.1873528,"Lake Mead"
"97",1937-09-01,12171198.6,12.1711986,"Lake Mead"
"98",1937-09-02,12158848.1,12.1588481,"Lake Mead"
"99",1937-09-03,12155044.4,12.1550444,"Lake Mead"
"100",1937-09-04,12158848.1,12.1588481,"Lake Mead"
"101",1937-09-05,12163602.8,12.1636028,"Lake Mead"
"102",1937-09-06,12173100.5,12.1731005,"Lake Mead"
"103",1937-09-07,12175953.2,12.1759532,"Lake Mead"
"104",1937-09-08,12179745.4,12.1797454,"Lake Mead"
"105",1937-09-09,12179745.4,12.1797454,"Lake Mead"
"106",1937-09-10,12178794.4,12.1787944,"Lake Mead"
"107",1937-09-11,12174051.4,12.1740514,"Lake Mead"
"108",1937-09-12,12167394.9,12.1673949,"Lake Mead"
"109",1937-09-13,12160750,12.16075,"Lake Mead"
"110",1937-09-14,12155995.4,12.1559954,"Lake Mead"
"111",1937-09-15,12149350.5,12.1493505,"Lake Mead"
"112",1937-09-16,12143644.9,12.1436449,"Lake Mead"
"113",1937-09-17,12137000,12.137,"Lake Mead"
"114",1937-09-18,12129484.1,12.1294841,"Lake Mead"
"115",1937-09-19,12118204.6,12.1182046,"Lake Mead"
"116",1937-09-20,12106925,12.106925,"Lake Mead"
"117",1937-09-21,12098456.8,12.0984568,"Lake Mead"
"118",1937-09-22,12090000,12.09,"Lake Mead"
"119",1937-09-23,12080602.3,12.0806023,"Lake Mead"
"120",1937-09-24,12073075,12.073075,"Lake Mead"
"121",1937-09-25,12063677.2,12.0636772,"Lake Mead"
"122",1937-09-26,12053338.6,12.0533386,"Lake Mead"
"123",1937-09-27,12043940.9,12.0439409,"Lake Mead"
"124",1937-09-28,12033602.3,12.0336023,"Lake Mead"
"125",1937-09-29,12019500,12.0195,"Lake Mead"
"126",1937-09-30,12010102.3,12.0101023,"Lake Mead"
"127",1937-10-01,11999763.7,11.9997637,"Lake Mead"
"128",1937-10-02,12003515.9,12.0035159,"Lake Mead"
"129",1937-10-03,12035484.1,12.0354841,"Lake Mead"
"130",1937-10-04,12037354.5,12.0373545,"Lake Mead"
"131",1937-10-05,12048645.5,12.0486455,"Lake Mead"
"132",1937-10-06,12047704.6,12.0477046,"Lake Mead"
"133",1937-10-07,12043000,12.043,"Lake Mead"
"134",1937-10-08,12036425,12.036425,"Lake Mead"
"135",1937-10-09,12028897.7,12.0288977,"Lake Mead"
"136",1937-10-10,12022322.8,12.0223228,"Lake Mead"
"137",1937-10-11,12015736.3,12.0157363,"Lake Mead"
"138",1937-10-12,12008220.5,12.0082205,"Lake Mead"
"139",1937-10-13,12001645.5,12.0016455,"Lake Mead"
"140",1937-10-14,11992236.3,11.9922363,"Lake Mead"
"141",1937-10-15,11983779.5,11.9837795,"Lake Mead"
"142",1937-10-16,11973440.9,11.9734409,"Lake Mead"
"143",1937-10-17,11966854.5,11.9668545,"Lake Mead"
"144",1937-10-18,11958397.7,11.9583977,"Lake Mead"
"145",1937-10-19,11949000,11.949,"Lake Mead"
"146",1937-10-20,11941564.1,11.9415641,"Lake Mead"
"147",1937-10-21,11935047.7,11.9350477,"Lake Mead"
"148",1937-10-22,11934116.8,11.9341168,"Lake Mead"
"149",1937-10-23,11935047.7,11.9350477,"Lake Mead"
"150",1937-10-24,11934116.8,11.9341168,"Lake Mead"
"151",1937-10-25,11933185.9,11.9331859,"Lake Mead"
"152",1937-10-26,11931335.4,11.9313354,"Lake Mead"
"153",1937-10-27,11930404.5,11.9304045,"Lake Mead"
"154",1937-10-28,11928542.7,11.9285427,"Lake Mead"
"155",1937-10-29,11926680.9,11.9266809,"Lake Mead"
"156",1937-10-30,11924819.1,11.9248191,"Lake Mead"
"157",1937-10-31,11922957.3,11.9229573,"Lake Mead"
"158",1937-11-01,11918314.1,11.9183141,"Lake Mead"
"159",1937-11-02,11915521.4,11.9155214,"Lake Mead"
"160",1937-11-03,11913659.5,11.9136595,"Lake Mead"
"161",1937-11-04,11911797.7,11.9117977,"Lake Mead"
"162",1937-11-05,11908085.4,11.9080854,"Lake Mead"
"163",1937-11-06,11905292.7,11.9052927,"Lake Mead"
"164",1937-11-07,11897845.5,11.8978455,"Lake Mead"
"165",1937-11-08,11898776.4,11.8987764,"Lake Mead"
"166",1937-11-09,11896914.6,11.8969146,"Lake Mead"
"167",1937-11-10,11893202.3,11.8932023,"Lake Mead"
"168",1937-11-11,11890409.5,11.8904095,"Lake Mead"
"169",1937-11-12,11887616.8,11.8876168,"Lake Mead"
"170",1937-11-13,11886685.9,11.8866859,"Lake Mead"
"171",1937-11-14,11885755,11.885755,"Lake Mead"
"172",1937-11-15,11885755,11.885755,"Lake Mead"
"173",1937-11-16,11883904.5,11.8839045,"Lake Mead"
"174",1937-11-17,11878319.1,11.8783191,"Lake Mead"
"175",1937-11-18,11878319.1,11.8783191,"Lake Mead"
"176",1937-11-19,11876457.3,11.8764573,"Lake Mead"
"177",1937-11-20,11875526.4,11.8755264,"Lake Mead"
"178",1937-11-21,11873664.6,11.8736646,"Lake Mead"
"179",1937-11-22,11873664.6,11.8736646,"Lake Mead"
"180",1937-11-23,11870883.2,11.8708832,"Lake Mead"
"181",1937-11-24,11865297.7,11.8652977,"Lake Mead"
"182",1937-11-25,11864366.8,11.8643668,"Lake Mead"
"183",1937-11-26,11864366.8,11.8643668,"Lake Mead"
"184",1937-11-27,11859723.6,11.8597236,"Lake Mead"
"185",1937-11-28,11856000,11.856,"Lake Mead"
"186",1937-11-29,11855069.1,11.8550691,"Lake Mead"
"187",1937-11-30,11854138.2,11.8541382,"Lake Mead"
"188",1937-12-01,11852276.4,11.8522764,"Lake Mead"
"189",1937-12-02,11850414.6,11.8504146,"Lake Mead"
"190",1937-12-03,11849495,11.849495,"Lake Mead"
"191",1937-12-04,11850414.6,11.8504146,"Lake Mead"
"192",1937-12-05,11845771.4,11.8457714,"Lake Mead"
"193",1937-12-06,11846702.3,11.8467023,"Lake Mead"
"194",1937-12-07,11845771.4,11.8457714,"Lake Mead"
"195",1937-12-08,11844840.5,11.8448405,"Lake Mead"
"196",1937-12-09,11841116.8,11.8411168,"Lake Mead"
"197",1937-12-10,11835542.7,11.8355427,"Lake Mead"
"198",1937-12-11,11832750,11.83275,"Lake Mead"
"199",1937-12-12,11826245,11.826245,"Lake Mead"
"200",1937-12-13,11832750,11.83275,"Lake Mead"
"201",1937-12-14,11835542.7,11.8355427,"Lake Mead"
"202",1937-12-15,11832750,11.83275,"Lake Mead"
"203",1937-12-16,11835542.7,11.8355427,"Lake Mead"
"204",1937-12-17,11834611.8,11.8346118,"Lake Mead"
"205",1937-12-18,11835542.7,11.8355427,"Lake Mead"
"206",1937-12-19,11836473.6,11.8364736,"Lake Mead"
"207",1937-12-20,11840185.9,11.8401859,"Lake Mead"
"208",1937-12-21,11839255,11.839255,"Lake Mead"
"209",1937-12-22,11842047.7,11.8420477,"Lake Mead"
"210",1937-12-23,11840185.9,11.8401859,"Lake Mead"
"211",1937-12-24,11837404.5,11.8374045,"Lake Mead"
"212",1937-12-25,11839255,11.839255,"Lake Mead"
"213",1937-12-26,11837404.5,11.8374045,"Lake Mead"
"214",1937-12-27,11839255,11.839255,"Lake Mead"
"215",1937-12-28,11837404.5,11.8374045,"Lake Mead"
"216",1937-12-29,11838335.4,11.8383354,"Lake Mead"
"217",1937-12-30,11834611.8,11.8346118,"Lake Mead"
"218",1937-12-31,11832750,11.83275,"Lake Mead"
"219",1938-01-01,11830888.2,11.8308882,"Lake Mead"
"220",1938-01-02,11826245,11.826245,"Lake Mead"
"221",1938-01-03,11825314.1,11.8253141,"Lake Mead"
"222",1938-01-04,11822521.4,11.8225214,"Lake Mead"
"223",1938-01-05,11817866.8,11.8178668,"Lake Mead"
"224",1938-01-06,11816005,11.816005,"Lake Mead"
"225",1938-01-07,11809500,11.8095,"Lake Mead"
"226",1938-01-08,11808569.1,11.8085691,"Lake Mead"
"227",1938-01-09,11804845.5,11.8048455,"Lake Mead"
"228",1938-01-10,11802995,11.802995,"Lake Mead"
"229",1938-01-11,11799271.4,11.7992714,"Lake Mead"
"230",1938-01-12,11798340.5,11.7983405,"Lake Mead"
"231",1938-01-13,11797409.5,11.7974095,"Lake Mead"
"232",1938-01-14,11793685.9,11.7936859,"Lake Mead"
"233",1938-01-15,11784388.2,11.7843882,"Lake Mead"
