"","Basin","Drought_Level","Drought_Area_SqKm","Drought_Area_Percent"
"1","Upper Basin",0,0,0
"2","Upper Basin",1,19833.7775225475,6.75608670238689
"3","Upper Basin",2,164707.368367508,56.1051599952569
"4","Upper Basin",3,86187.4783759933,29.3585060085677
"5","Upper Basin",4,22840.1376331645,7.78015937552421
"6","Lower Basin",0,27049.8250717025,6.37432339753364
"7","Lower Basin",1,105285.56879166,24.8106693034918
"8","Lower Basin",2,202966.476143644,47.8292911088298
"9","Lower Basin",3,16691.476371588,3.93336622668579
"10","Lower Basin",4,0,0
