"","Reservoir","Date","Most_Probable","Min_Probable","Max_Probable"
"1","Blue Mesa Reservoir",2026-06-01,7446.71,7446.71,7446.71
"2","Blue Mesa Reservoir",2026-07-01,7435.04773,7434.89237,7458.29054
"3","Blue Mesa Reservoir",2026-08-01,7423.18742,7423.00791,7452.49216
"4","Blue Mesa Reservoir",2026-09-01,7407.60131,7407.55434,7445.18163
"5","Blue Mesa Reservoir",2026-10-01,7397.50751,7392.32931,7440.17928
"6","Blue Mesa Reservoir",2026-11-01,7398.72639,7390.56882,7443.65949
"7","Blue Mesa Reservoir",2026-12-01,7399.0877,7388.22851,7445.82051
"8","Blue Mesa Reservoir",2027-01-01,7398.78016,7385.43113,7447.55655
"9","Blue Mesa Reservoir",2027-02-01,7399.29474,7383.49423,7449.34892
"10","Blue Mesa Reservoir",2027-03-01,7399.19979,7377.7714,7452.14634
"11","Blue Mesa Reservoir",2027-04-01,7399.74118,7363.60613,7460.73156
"12","Blue Mesa Reservoir",2027-05-01,7417.87727,7371.60474,7464.66473
"13","Blue Mesa Reservoir",2027-06-01,7453.12393,7390.14893,7498.67565
"14","Blue Mesa Reservoir",2027-07-01,7452.21355,7379.58638,7504.07585
"15","Blue Mesa Reservoir",2027-08-01,7445.18368,7365.13527,7502.3281
"16","Blue Mesa Reservoir",2027-09-01,7437.41985,7358.708,7496.90028
"17","Blue Mesa Reservoir",2027-10-01,7430.50999,7363.51381,7492.9243
"18","Blue Mesa Reservoir",2027-11-01,7433.69525,7369.48473,7492.75093
"19","Blue Mesa Reservoir",2027-12-01,7434.48618,7375.29337,7489.98749
"20","Blue Mesa Reservoir",2028-01-01,7433.76137,7380.28369,7489.73473
"21","Blue Mesa Reservoir",2028-02-01,7433.10372,7384.69368,7489.27111
"22","Blue Mesa Reservoir",2028-03-01,7434.44855,7388.34127,7489.8488
"23","Blue Mesa Reservoir",2028-04-01,7441.35075,7392.98676,7491.49285
"24","Blue Mesa Reservoir",2028-05-01,7466.97688,7421.59978,7494.97214
"25","Blue Mesa Reservoir",2028-06-01,7479.00338,7443.06463,7513.3828
"26","Flaming Gorge",2026-06-01,6015.21,6015.21,6015.21
"27","Flaming Gorge",2026-07-01,6012.62156,6012.3895,6020.82497
"28","Flaming Gorge",2026-08-01,6009.87711,6009.35738,6019.28528
"29","Flaming Gorge",2026-09-01,6007.14656,6006.33552,6017.63656
"30","Flaming Gorge",2026-10-01,6004.29389,6003.07168,6014.83591
"31","Flaming Gorge",2026-11-01,6001.80805,6000.03747,6012.41556
"32","Flaming Gorge",2026-12-01,5999.15044,5996.85145,6009.80034
"33","Flaming Gorge",2027-01-01,5996.43022,5993.57231,6007.41236
"34","Flaming Gorge",2027-02-01,5994.1793,5990.70587,6005.50857
"35","Flaming Gorge",2027-03-01,5992.91243,5988.1749,6004.42254
"36","Flaming Gorge",2027-04-01,5991.58895,5985.64927,6002.83692
"37","Flaming Gorge",2027-05-01,5989.60807,5985.62895,6002.25568
"38","Flaming Gorge",2027-06-01,5993.21394,5984.28175,6011.74992
"39","Flaming Gorge",2027-07-01,5995.68051,5983.73808,6015.46284
"40","Flaming Gorge",2027-08-01,5996.39259,5983.06283,6015.50011
"41","Flaming Gorge",2027-09-01,5995.49052,5982.43748,6014.24886
"42","Flaming Gorge",2027-10-01,5995.14132,5981.93075,6013.37222
"43","Flaming Gorge",2027-11-01,5995.14197,5981.79891,6012.61299
"44","Flaming Gorge",2027-12-01,5994.93137,5981.79362,6010.44576
"45","Flaming Gorge",2028-01-01,5995.03865,5982.17701,6007.89548
"46","Flaming Gorge",2028-02-01,5995.2923,5982.70299,6005.66891
"47","Flaming Gorge",2028-03-01,5996.4079,5983.58693,6005.86389
"48","Flaming Gorge",2028-04-01,5997.18063,5984.45535,6005.55056
"49","Flaming Gorge",2028-05-01,5997.20658,5986.00334,6003.29609
"50","Flaming Gorge",2028-06-01,6001.11178,5987.96938,6009.24384
"51","Fontenelle Reservoir",2026-06-01,6495.07,6495.07,6495.07
"52","Fontenelle Reservoir",2026-07-01,6494.85756,6495.95373,6503.45976
"53","Fontenelle Reservoir",2026-08-01,6492.08758,6494.55052,6500.77949
"54","Fontenelle Reservoir",2026-09-01,6489.34185,6493.19132,6496.66087
"55","Fontenelle Reservoir",2026-10-01,6487.14494,6490.08253,6495.01814
"56","Fontenelle Reservoir",2026-11-01,6484.61875,6486.86603,6492.23479
"57","Fontenelle Reservoir",2026-12-01,6480.22754,6482.585,6486.74164
"58","Fontenelle Reservoir",2027-01-01,6474.57807,6477.3961,6480.40025
"59","Fontenelle Reservoir",2027-02-01,6468.66162,6471.93094,6473.82503
"60","Fontenelle Reservoir",2027-03-01,6465.55857,6467.09041,6472.53738
"61","Fontenelle Reservoir",2027-04-01,6469.55392,6465.38057,6480.65849
"62","Fontenelle Reservoir",2027-05-01,6481.89984,6470.16119,6491.74683
"63","Fontenelle Reservoir",2027-06-01,6501.07059,6487.43074,6499.88014
"64","Fontenelle Reservoir",2027-07-01,6505.36359,6492.87078,6504.7583
"65","Fontenelle Reservoir",2027-08-01,6497.45676,6490.51657,6500.317
"66","Fontenelle Reservoir",2027-09-01,6494.17246,6487.23056,6497.16907
"67","Fontenelle Reservoir",2027-10-01,6491.6076,6485.63373,6495.39388
"68","Fontenelle Reservoir",2027-11-01,6488.8856,6484.4577,6492.83447
"69","Fontenelle Reservoir",2027-12-01,6484.01375,6481.34302,6487.55999
"70","Fontenelle Reservoir",2028-01-01,6478.32386,6477.35221,6481.53866
"71","Fontenelle Reservoir",2028-02-01,6472.02398,6473.11714,6474.9003
"72","Fontenelle Reservoir",2028-03-01,6469.57126,6471.56611,6471.3294
"73","Fontenelle Reservoir",2028-04-01,6475.61844,6475.38938,6477.69517
"74","Fontenelle Reservoir",2028-05-01,6487.30022,6486.59099,6489.02996
